repaired,relative,music_exists,repaired_size,music_size,repaired_dur,music_dur,pcm_same,recommendation
/Volumes/dotad/ReallyRepaired/NewDad - (2024) Just Like Heaven (Live at BBC Maida Vale) - 01. Just Like Heaven (Live at BBC Maida Vale) (3).flac,NewDad - (2024) Just Like Heaven (Live at BBC Maida Vale) - 01. Just Like Heaven (Live at BBC Maida Vale) (3).flac,True,21722937,21722937,196.691043,196.691043,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Max Richter - (2025) The Blue Notebooks (20 Year Edition) - 02-05. On the Nature of Daylight (Entropy).flac,Max Richter - (2025) The Blue Notebooks (20 Year Edition) - 02-05. On the Nature of Daylight (Entropy).flac,True,82420708,82420708,462.334558,462.334558,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Herbie Hancock - (2007) Head Hunters - 03. Sly.flac,Herbie Hancock - (2007) Head Hunters - 03. Sly.flac,True,226080781,226080781,650.775125,650.775125,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Jack White - (2022) Fear of the Dawn - 06. Into the Twilight.flac,Jack White - (2022) Fear of the Dawn - 06. Into the Twilight.flac,True,87279372,87279372,281.172313,281.172313,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Iggy Pop - (1977) Lust for Life - 01. Lust for Life.flac,Iggy Pop - (1977) Lust for Life - 01. Lust for Life.flac,True,230700464,230700464,313.931063,313.931063,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Johann Sebastian Bach; Lang Lang - (2021) Goldberg Variations (extended edition) - 04-02. Sonata in D major: II. Andante.repaired.flac,Johann Sebastian Bach; Lang Lang - (2021) Goldberg Variations (extended edition) - 04-02. Sonata in D major: II. Andante.repaired.flac,True,76536917,76536917,243.509333,243.509333,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/WhoMadeWho - (2024) Kiss & Forget Remixes - 07. A3LA (Rockin Moroccin remix).repaired.flac,WhoMadeWho - (2024) Kiss & Forget Remixes - 07. A3LA (Rockin Moroccin remix).repaired.flac,False,81878930,,376.572993,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/James Curd - (XXXX) Do the Dance That I Do - 04. Do the Dance That I Do-3 (Mark Share Remix).flac,James Curd - (XXXX) Do the Dance That I Do - 04. Do the Dance That I Do-3 (Mark Share Remix).flac,True,44366862,44366862,360.222766,360.222766,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Disclosure - (2014) Settle (Deluxe) - 02. When A Fire Starts To Burn.flac,Disclosure - (2014) Settle (Deluxe) - 02. When A Fire Starts To Burn.flac,True,36802570,36802570,283.705556,283.705556,NA,KEEP_MUSIC (duplicate)
"/Volumes/dotad/ReallyRepaired/Various Artists - (1986) European Maxi Single Hit Collection, Volume 34 - 02. Letter From My Heart.repaired.flac","Various Artists - (1986) European Maxi Single Hit Collection, Volume 34 - 02. Letter From My Heart.repaired.flac",False,38106382,,325.955918,,NA,COPY->MUSIC
