path,checksum,library,zone
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Clio & Kay/(2022) Singles Collection/Clio & Kay - (2022) Singles Collection - 06. Let's Go Back (Prod. by Roberto Ferrante - 2022 Remaster).flac",streaminfo:66837531064648704495113242296518512392,recovery,accepted
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Coxinella/(2022) Gnawatronica EP/Coxinella - (2022) Gnawatronica EP - 01. Gnawatronica.flac",streaminfo:2067840590160858465863371605982605208,recovery,accepted
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Coxinella/(2022) Gnawatronica EP/Coxinella - (2022) Gnawatronica EP - 02. Boulila.flac",streaminfo:188606353007619752082664749684401521653,recovery,accepted
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Crazy P/(2012) Live in London 2012/Crazy P - (2012) Live in London 2012 - 01. Open for Service - Live.flac",streaminfo:262278635525686055349349972183200526836,recovery,accepted
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Crazy P/(2012) Live in London 2012/Crazy P - (2012) Live in London 2012 - 09. Future Beat - Live.flac",streaminfo:123280221506865714523164373833664320617,recovery,accepted
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/DJ Koze/(2025) Music Can Hear Us/DJ Koze - (2025) Music Can Hear Us - 13. Buschtaxi.flac",streaminfo:120316915129912567232159746580846190434,recovery,accepted
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/David August/(2016) J.B.Y. ∕ Ouvert/David August - (2016) J.B.Y. ∕ Ouvert - 01. J.B.Y.flac",streaminfo:268354142329817615085728703630041215800,recovery,accepted
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/David August/(2016) The Spell/David August - (2016) The Spell - 01. The Spell.flac",streaminfo:277442120768608445561086943733670851265,recovery,accepted
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/David August/(2016) The Spell/David August - (2016) The Spell - 02. A Golden Rush.flac",streaminfo:241738020961134178129902942337848723694,recovery,accepted
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Deep Purple/(2024) Smoke on the Water (2024 remix)/Deep Purple - (2024) Smoke on the Water (2024 remix) - 01. Smoke on the Water (2024 remix).flac",streaminfo:241025147020397769854717144370068949159,recovery,accepted
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Disclosure/(2020) Expressing What Matters (single)/Disclosure - (2020) Expressing What Matters (single) - 01. Expressing What Matters.flac",streaminfo:113686645847198807107549558430359208117,recovery,accepted
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Disclosure/(2021) Big Tree Energy/Disclosure - (2021) Big Tree Energy - 03. My High (edit).flac",streaminfo:63142521220287938330706854738496786702,recovery,accepted
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Disclosure/(2021) Big Tree Energy/Disclosure - (2021) Big Tree Energy - 05. Lavender.flac",streaminfo:38039593189570701854716495604414707530,recovery,accepted
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Disclosure/(2021) Record Bag EP/Disclosure - (2021) Record Bag EP - 01. Feel Like I Do.flac",streaminfo:272470399127355202798512413602973291095,recovery,accepted
