repaired,relative,music_exists,repaired_size,music_size,repaired_dur,music_dur,pcm_same,recommendation
/Volumes/dotad/ReallyRepaired/Zedbazi - (2019) Zedbazi - 20. Talafaate Jang.flac,Zedbazi - (2019) Zedbazi - 20. Talafaate Jang.flac,False,38011227,,358.712993,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Miles Davis - (1987) Sorcerer - 05. Limbo.flac,Miles Davis - (1987) Sorcerer - 05. Limbo.flac,False,331164462,,441.810833,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Phoenix - (2009) Wolfgang Amadeus Phoenix - 02-13. Fences (Chairlift remix).repaired.flac,Phoenix - (2009) Wolfgang Amadeus Phoenix - 02-13. Fences (Chairlift remix).repaired.flac,False,46366123,,246.52,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Led Zeppelin - (2014) [Led Zeppelin IV] - 01-03. The Battle of Evermore.repaired (2).flac,Led Zeppelin - (2014) [Led Zeppelin IV] - 01-03. The Battle of Evermore.repaired (2).flac,False,138293056,,351.707125,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/salute - (2024) system (single) - 01. system.repaired (2).flac,salute - (2024) system (single) - 01. system.repaired (2).flac,False,49495709,,232.239615,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Soulwax - (2018) ESSENTIAL - 02. Essential Two.flac,Soulwax - (2018) ESSENTIAL - 02. Essential Two.flac,False,57938383,,303.746667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Various Artists - (2023) Nova 40 ans de Grand Mix - 18. Prix choc.repaired (1).flac,Various Artists - (2023) Nova 40 ans de Grand Mix - 18. Prix choc.repaired (1).flac,False,67128333,,533.146667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Soapkills - (2017) Bater - 05. Coit Me (Zeid mix).repaired (2).flac,Soapkills - (2017) Bater - 05. Coit Me (Zeid mix).repaired (2).flac,False,23850430,,266.666667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Franc Moody & NATURE - (XXXX) The Light You Bring (feat. NATURE) - Single - 01. The Light You Bring (feat. NATURE).flac,Franc Moody & NATURE - (XXXX) The Light You Bring (feat. NATURE) - Single - 01. The Light You Bring (feat. NATURE).flac,False,23794551,,230.379365,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Nicolas Jaar - (2024) Archivos de Radio Piedras - 07. Archivos de Radio Piedras: lo que no se muestra.flac,Nicolas Jaar - (2024) Archivos de Radio Piedras - 07. Archivos de Radio Piedras: lo que no se muestra.flac,False,256082326,,837.101042,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Smerz - (2024) Allina - 05. Dance Rehearsal.repaired.flac,Smerz - (2024) Allina - 05. Dance Rehearsal.repaired.flac,False,5787119,,31.348934,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Rufus Wainwright - (2023) Folkocracy - 11. Hush Little Baby.repaired.flac,Rufus Wainwright - (2023) Folkocracy - 11. Hush Little Baby.repaired.flac,False,85476874,,234.146667,,NA,COPY->MUSIC
"/Volumes/dotad/ReallyRepaired/Sufjan Stevens - (2018) The Avalanche - 01-09. Springfield, or Bobby Got a Shadfly Caught in His Hair.repaired (1).flac","Sufjan Stevens - (2018) The Avalanche - 01-09. Springfield, or Bobby Got a Shadfly Caught in His Hair.repaired (1).flac",False,28353656,,257.626667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Ramones - (1977) Rocket to Russia - 06. Sheena Is a Punk Rocker.repaired.flac,Ramones - (1977) Rocket to Russia - 06. Sheena Is a Punk Rocker.repaired.flac,False,124025179,,169.92,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Various Artists - (2022) House Old School (The Origins of the House Music New Remixes) - 14. Dance Floor  (Original Radio Mix).repaired (2).flac,Various Artists - (2022) House Old School (The Origins of the House Music New Remixes) - 14. Dance Floor  (Original Radio Mix).repaired (2).flac,False,28598312,,227.716553,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Flight Facilities - (2011) Foreign Language (Remixes) (single) - 07. Feelin.repaired (1).flac,Flight Facilities - (2011) Foreign Language (Remixes) (single) - 07. Feelin.repaired (1).flac,False,38742726,,376.6,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Various Artists - (2023) Vinyl Moon Volume 100: Century - 08. Getting Easier.repaired (2).flac,Various Artists - (2023) Vinyl Moon Volume 100: Century - 08. Getting Easier.repaired (2).flac,False,49767162,,186.871134,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Pépite - (2024) Les Années Lumière - 08. Très bleu.flac,Pépite - (2024) Les Années Lumière - 08. Très bleu.flac,False,44865904,,234.373333,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/The Roots - (2021) Do You Want More?!!!??! - 31. It's Comin'.flac,The Roots - (2021) Do You Want More?!!!??! - 31. It's Comin'.flac,False,90294322,,387.505941,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/YACHT - (2022) See Mystery Lights: Remixes & B-Sides - 12. So Post All 'Em (Salvia in the club version).repaired (6).flac,YACHT - (2022) See Mystery Lights: Remixes & B-Sides - 12. So Post All 'Em (Salvia in the club version).repaired (6).flac,False,29879388,,264.0,,NA,COPY->MUSIC
