status,reason,music_path,dd_path,m_duration,d_duration,m_size,d_size,m_healthy,d_healthy,m_codec,d_codec
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/Flight Facilities feat. Micky Green/(2014) Stand Still (tour edition)/Flight Facilities feat. Micky Green - (2014) Stand Still (tour edition) - 06. Stand Still (Midnight Magic remix).flac,,,,44773668,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/Flight Facilities feat. Micky Green/(2014) Stand Still (tour edition)/Flight Facilities feat. Micky Green - (2014) Stand Still (tour edition) - 05. Stand Still (Slow Magic remix).flac,,,,24450546,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,"/Volumes/dotad/DD/Alan Feinberg/(2015) Fugue State/Alan Feinberg - (2015) Fugue State - 04. Fugue in B-flat major, HWV 607, no. 3.flac",,,,44979823,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,"/Volumes/dotad/DD/Alanis Morissette/(2015) Jagged Little Pill (collector's edition)/Alanis Morissette - (2015) Jagged Little Pill (collector's edition) - 46. Wake Up (live at Subterranea, London 09-28-95) (1).flac",,,,59934425,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,"/Volumes/dotad/DD/Alanis Morissette/(2015) Jagged Little Pill (collector's edition)/Alanis Morissette - (2015) Jagged Little Pill (collector's edition) - 40. Hand in My Pocket (live at Subterranea, London 09-28-95) (1).flac",,,,35024629,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/Alanis Morissette/(2015) Jagged Little Pill (collector's edition)/Alanis Morissette - (2015) Jagged Little Pill (collector's edition) - 01. All I Really Want.flac,,,,58562670,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,"/Volumes/dotad/DD/Alanis Morissette/(2015) Jagged Little Pill (collector's edition)/Alanis Morissette - (2015) Jagged Little Pill (collector's edition) - 48. Perfect (live at Subterranea, London 09-28-95) (1).flac",,,,23944655,,,,
KEEP_MUSIC,Dur≈; MUSIC larger-or-equal (46634181 >= 46634181),/Volumes/dotad/MUSIC/_Recovered_from_DUPES_CHECK/Alanis Morissette/(2020) Jagged Little Pill/Alanis Morissette - (2020) Jagged Little Pill - 05. Right Through You.flac,/Volumes/dotad/DD/Alanis Morissette/(2020) Jagged Little Pill/Alanis Morissette - (2020) Jagged Little Pill - 05. Right Through You.flac,173.907,173.907,46634181,46634181,1,1,flac,flac
KEEP_MUSIC,Dur≈; MUSIC larger-or-equal (62545380 >= 62545380),/Volumes/dotad/MUSIC/_Recovered_from_DUPES_CHECK/Alanis Morissette/(2020) Jagged Little Pill/Alanis Morissette - (2020) Jagged Little Pill - 02. You Oughta Know.flac,/Volumes/dotad/DD/Alanis Morissette/(2020) Jagged Little Pill/Alanis Morissette - (2020) Jagged Little Pill - 02. You Oughta Know.flac,248.120,248.120,62545380,62545380,1,1,flac,flac
KEEP_MUSIC,Dur≈; MUSIC larger-or-equal (59495829 >= 59495829),/Volumes/dotad/MUSIC/_Recovered_from_DUPES_CHECK/Alanis Morissette/(2020) Jagged Little Pill/Alanis Morissette - (2020) Jagged Little Pill - 07. You Learn.flac,/Volumes/dotad/DD/Alanis Morissette/(2020) Jagged Little Pill/Alanis Morissette - (2020) Jagged Little Pill - 07. You Learn.flac,238.920,238.920,59495829,59495829,1,1,flac,flac
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/warner case/(2025) the water is warm/warner case - (2025) the water is warm - 01. the water is warm.flac,,,,51148400,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/BC Camplight/(2025) A Sober Conversation/BC Camplight - (2025) A Sober Conversation - 05. Where You Taking My Baby?.flac,,,,28942038,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/BC Camplight/(2025) A Sober Conversation/BC Camplight - (2025) A Sober Conversation - 07. Rock Gently in Disorder.flac,,,,23061209,,,,
