path,stream_md5,size_bytes
/Volumes/dotad/MUSIC/Superdiesel  Perdu/(2019) Delightful Sounds to Boogie/Superdiesel  Perdu - (2019) Delightful Sounds to Boogie - 02. Ticket Nar de Zon (Prins Thomas Diskomiks radio edit).flac,,25427968
/Volumes/dotad/MUSIC/Syd/(2021) Fast Car/Syd - (2021) Fast Car - 01. Fast Car.flac,,25427968
/Volumes/dotad/MUSIC/The Chemical Brothers/(2019) No Geography/The Chemical Brothers - (2019) No Geography - 07. We've Got To Try.flac,,25427968
/Volumes/dotad/MUSIC/The Cure/(2017) Acoustic Hits/The Cure - (2017) Acoustic Hits - 01-03. Let's Go to Bed.flac,,25427968
/Volumes/dotad/MUSIC/The Cure/(2017) Acoustic Hits/The Cure - (2017) Acoustic Hits - 01-05. The Lovecats.flac,,25427968
/Volumes/dotad/MUSIC/The Cure/(2017) Acoustic Hits/The Cure - (2017) Acoustic Hits - 02-05. Mint Car.flac,,25427968
/Volumes/dotad/MUSIC/The Cure/(2017) Acoustic Hits/The Cure - (2017) Acoustic Hits - 02-08. Just Say Yes.flac,,25427968
/Volumes/dotad/MUSIC/The Killers/(2008) Human (Remixes 2)/The Killers - (2008) Human (Remixes 2) - 04. Human (Ocelot Remix).flac,,25427968
/Volumes/dotad/MUSIC/The Killers/(2008) Spaceman (single)/The Killers - (2008) Spaceman (single) - 01. Spaceman.flac,,25427968
/Volumes/dotad/MUSIC/The Killers/(2008) Spaceman/The Killers - (2008) Spaceman - 02. Four Winds.flac,,25427968
/Volumes/dotad/MUSIC/The Kinks/(2002) Another Great Lost Kinks Album/The Kinks - (2002) Another Great Lost Kinks Album - 13. You Really Got Me.flac,,25427968
/Volumes/dotad/MUSIC/The Kinks/(2008) Picture Book/The Kinks - (2008) Picture Book - 06-06. Summer's Gone.flac,,25427968
/Volumes/dotad/MUSIC/The Lemonheads/(2022) It's a Shame About Ray/The Lemonheads - (2022) It's a Shame About Ray - 13. Mrs Robinson.flac,,25427968
/Volumes/dotad/MUSIC/The Magic Gang/(2015) No Fun  Alright/The Magic Gang - (2015) No Fun  Alright - 01. No Fun.flac,,25427968
/Volumes/dotad/MUSIC/The Roots/(2004) The Tipping Point/The Roots - (2004) The Tipping Point - 02. I Don't Care.flac,,25427968
/Volumes/dotad/MUSIC/The Roots/(2004) The Tipping Point/The Roots - (2004) The Tipping Point - 04. Guns Are Drawn.flac,,25427968
/Volumes/dotad/MUSIC/The Roots/(2004) The Tipping Point/The Roots - (2004) The Tipping Point - 05. Stay Cool.flac,,25427968
/Volumes/dotad/MUSIC/The Roots/(2004) The Tipping Point/The Roots - (2004) The Tipping Point - 08. Somebody's Gotta Do It.flac,,25427968
/Volumes/dotad/MUSIC/The Roots/(2004) The Tipping Point/The Roots - (2004) The Tipping Point - 09. Duck Down!.flac,,25427968
/Volumes/dotad/MUSIC/The Roots/(2004) The Tipping Point/The Roots - (2004) The Tipping Point - 10. Why (What's Goin On?).flac,,25427968
/Volumes/dotad/MUSIC/The Roots/(2004) The Tipping Point/The Roots - (2004) The Tipping Point - 11. In Love With the Mic.flac,,25427968
/Volumes/dotad/MUSIC/The Sound of Arrows/(2011) Voyage/The Sound of Arrows - (2011) Voyage - 01. Into the Clouds.flac,,25427968
/Volumes/dotad/MUSIC/The Sugarhill Gang/(2010) 30th Anniversary Edition/The Sugarhill Gang - (2010) 30th Anniversary Edition - 06. Rapper's Delight (single version).flac,,25427968
/Volumes/dotad/MUSIC/The Temper Trap/(2025) Sweet Disposition (acoustic version)/The Temper Trap - (2025) Sweet Disposition (acoustic version) - 01. Sweet Disposition (acoustic version).flac,,25427968
/Volumes/dotad/MUSIC/The Temptations/(2006) Reflections/The Temptations - (2006) Reflections - 09. Ain't No Mountain High Enough.flac,,25427968
/Volumes/dotad/MUSIC/Télépopmusik/(2001) Genetic World/Télépopmusik - (2001) Genetic World - 09. Smile.flac,,25427968
/Volumes/dotad/MUSIC/Various Artists/(2013) Latest & Greatest R&B Hits/Various Artists - (2013) Latest & Greatest R&B Hits - 03-05. Don't Walk Away.flac,,25427968
/Volumes/dotad/MUSIC/Various Artists/(2021) The Best 80s Album in the World... Ever!/Various Artists - (2021) The Best 80s Album in the World... Ever! - 22. You Keep Me Hangin' On.flac,,25427968
/Volumes/dotad/MUSIC/Various Artists/(2022) House Old School (The Origins of the House Music New Remixes)/Various Artists - (2022) House Old School (The Origins of the House Music New Remixes) - 02. Dark Beat  (Menini & Viani Anniversary Radio Mix).flac,,25427968
/Volumes/dotad/MUSIC/Various Artists/(2022) House Old School (The Origins of the House Music New Remixes)/Various Artists - (2022) House Old School (The Origins of the House Music New Remixes) - 05. House Makossa  (Radio Edit).flac,,25427968
/Volumes/dotad/MUSIC/Various Artists/(2022) La Disco funk : C'était mieux avant/Various Artists - (2022) La Disco funk : C'était mieux avant - 02-14. Mama Used to Say.flac,,25427968
"/Volumes/dotad/MUSIC/Various Artists/(XXXX) ""It's 4 Love""/Various Artists - (XXXX) ""It's 4 Love"" - 01-06. Right Here.flac",,25427968
/Volumes/dotad/MUSIC/Wayne Snow/(2017) Freedom TV/Wayne Snow - (2017) Freedom TV - 04. Red Runner.flac,,25427968
/Volumes/dotad/MUSIC/Yaya Bey/(2022) Remember Your North Star/Yaya Bey - (2022) Remember Your North Star - 09. pour up.flac,,25427968
/Volumes/dotad/MUSIC/Yaya Bey/(2024) Ten Fold/Yaya Bey - (2024) Ten Fold - 10. eric adams in the club.flac,,25427968
/Volumes/dotad/MUSIC/Yaya Bey/(2024) Ten Fold/Yaya Bey - (2024) Ten Fold - 13. career day.flac,,25427968
/Volumes/dotad/MUSIC/Yelle/(2007) Pop-up/Yelle - (2007) Pop-up - 12. Jogging.flac,,25427968
/Volumes/dotad/MUSIC/Young Kay/(2018) TALK/Young Kay - (2018) TALK - 01. TALK (Feat. VINXEN & Jay Moon).flac,,25427968
/Volumes/dotad/MUSIC/Zoot Woman/(2009) Things Are What They Used to Be/Zoot Woman - (2009) Things Are What They Used to Be - 06. Witness.flac,,25427968
/Volumes/dotad/MUSIC/slenderbodies/(2017) Fabulist/slenderbodies - (2017) Fabulist - 04. Anemone.flac,,25427968
/Volumes/dotad/MUSIC/Phoenix/(2006) It's Never Been Like That/Phoenix - (2006) It's Never Been Like That - 09. Sometimes in the Fall.flac,,38797312
/Volumes/dotad/MUSIC/Rufus Wainwright/(2007) Rufus Does Judy at Carnegie Hall/Rufus Wainwright - (2007) Rufus Does Judy at Carnegie Hall - 02-13. After You've Gone.flac,,38797312
